0,2018-9-25 07:21,【#女儿被打父亲捅死男生#：事发前双方家长对话曝光，并无激烈冲突】9月21日，浙江瑞安隆山实验小学发生一起“小学男生被女同学父亲杀害案”。2天前，男生叶某在学校打伤女同学眼睛。当晚双方父母通过微信有过沟通。叶某母亲向对方道歉，希望陪受伤女孩去医院看看。而犯罪嫌疑人林某某则希望，“(死者叶某)能当着老师同学的面向女儿道歉，“给他一个教训”。叶某妈妈表示愿意。双方似乎就处理纠纷达成一致。
111,9月27日 09:18 ,亦大雨林0331,-0808Y,废话，报道就是这样的！ 
112,9月27日 09:04 ,住在姥姥家的皮皮熊,,我们小时候也经常打架啊，也没见哪个孩子成了恶棍，也没见哪个家长啥人啊。还是现在社会压力大了，导致个人承受下降。 
113,9月27日 08:37 ,请叫我撬棍,YINGYICHEN_,我这才是三观正，你觉得学校里欺负人才是三观正?，做错事就要付出代价，这才是三观，赔点钱就能随意打人?道个歉就能随意欺负人? 那叫三观正么? 惩罚就应该有些力度 
114,9月27日 08:35 ,请叫我撬棍,YINGYICHEN_,这就对了，要的就是这个效果，少让孩子皮，皮自己谁也不去杀你，皮别人容易被杀，家里教不了，就让社会教 
115,9月27日 08:34 ,请叫我撬棍,YINGYICHEN_,暴民言论?怎么就暴民了，在道德层面我支持他这么做。他对净化学校环境是有贡献的。一言不合，能动手就少动嘴，这么我问问你，我儿子被你儿子打了，打伤了骨折了，叫学校来，你赔钱赔礼，你能让我儿子打回去么?  能让我儿子把你儿子打骨折么?你能跪下给我儿子道歉么?你觉得谁差那钱么?  你在拿钱侮辱谁 
116,9月27日 08:14 ,性感少男在线发脾气,又逢落花天,我捶你一拳，让你眼睛痛一天，然后你跟我说是普通的肢体碰撞 
117,9月27日 07:47 ,黎明你不要来,,挺女孩父亲 
118,9月27日 07:45 ,余洋_CEO,,信息不全面，估计这事应该是校园欺凌，然后学校没当回事，处理有失公允，男孩方家长不以为然，才酿成了这种极端事件 
119,9月27日 07:42 ,Sunny970R,阜元山燃木人,认同 
120,9月27日 07:41 ,Sunny970R,全是萌宠呀,怎样可能没有校园欺凌，除非没人类。 
121,9月27日 07:27 ,YINGYICHEN_,请叫我撬棍,最后 学校里欺负人是“非” ，同样你自己也说这是个非黑即白的世界。欺负了人不是必要死，被欺负人不是必要杀，世界上没有解决方法吗？这新闻里不是已经在沟通解决了？一不合心意就持刀杀人？你自己说的话觉得矛盾吗？没事少看那些暴民言论  多回家陪陪父母吧 
122,9月27日 07:22 ,YINGYICHEN_,请叫我撬棍,同样的这件事也给别的孩子竖立了“榜样”   觉得受欺负了可以的叫爸爸带刀过来杀人了这件事也给那些学校里的孩子心理带来了负面影响  。给那些熊孩子的父母一个提醒没有别的方法吗  用这种自己爽了不管别人死活的方法还得到你们的叫好？我真的是要笑笑死 说自己分的清是非 
123,9月27日 07:18 ,YINGYICHEN_,请叫我撬棍,我真是可笑死了  就是多了你这种三观不正 思考单线双商又低的人 微博评论区才真实乌烟瘴气  欺负和欺凌都分不清的人 。每个人都是人生父母养的 随意剥夺了别人的生命 还得到了你们这种人的叫好 美名曰给世人敲醒警钟 真的是棒的不能再棒了以后一言不合家长就带刀去学校 因为有例子了 
124,9月27日 06:04 ,韩先生123456789,啊人998,你咋不去杀人？还是说你天天杀人！ 
125,9月27日 05:50 ,请叫我撬棍,YINGYICHEN_,是非我分的很清楚啊，在学校欺负人，难道不是“非”? 
126,9月27日 05:48 ,请叫我撬棍,YINGYICHEN_,我从来也没说过杀人是对的，我只是说我可以理解杀人的想法，这不是一个非黑即白的世界，暴力也许不能解决大部分问题，可这件事的出现绝对可以震醒一些没有约束好孩子的父母。 
127,9月27日 03:04 ,啊人998,韩先生123456789,你混过社会吗？你有工作经验吗？只说不做是这个社会的常态你不知道？前面口头答应的很好，就差拍胸脯立毒誓了，后面做的事情完全不是这样的我天天遇到。 
128,9月27日 02:43 ,蜜汁羁绊,,冲动是魔鬼，父亲保护女儿不应该这么保护的。 
129,9月27日 02:09 ,蜜汁羁绊,,看哭了，心痛的很，不知道该说些什么，哎…… 
130,9月27日 02:00 ,lucky洛克,,亲 视频不是隆山小学的！不信可以查证隆山校服 而且视频里根本就没穿校服！ 
